,id_hs,id_hh,cat_loc_div,cat_sz_cty,cat_hus_typ,num_flr,num_out_wls,cat_hus_dir_fce,num_hus_blt_yr,num_hus_ar,num_bed,num_liv,num_bat,num_out_wds,cat_fuel_heat,cat_cool,cat_fuel_cook,num_hus_mems,cat_mhh_occu,num_tot_energy_heat,num_mhh_age,num_hh_ann_incm
4478,2017_HS3701100009,2017_HH16370005,2,2,2,1,5,1,4,49.5,2,1,1,3,1,1,4,1,2,5406.73,67,12000000
4479,2017_HS3701100013,2017_HH12370037,2,2,1,1,5,2,3,82.5,3,1,2,8,1,3,4,1,5,12615.95222,67,12000000
4480,2017_HS3701100014,2017_HH11370084,2,2,2,1,5,1,4,49.5,2,1,1,3,1,3,4,2,1,10937.92,67,25000000
4481,2017_HS3701100015,2017_HH12370038,2,2,2,3,2,1,4,36.3,1,1,1,4,1,3,4,3,1,6192.44,55,25000000
4482,2017_HS3701100016,2017_HH14370025,2,2,2,2,3,2,2,59.4,2,1,1,10,1,3,4,2,5,9354.54,67,25000000
4483,2017_HS3701100017,2017_HH11370085,2,2,2,2,4,1,4,46.2,2,1,1,3,1,3,4,2,5,6076.97,67,12000000
4484,2017_HS3701100018,2017_HH13370025,2,2,2,3,2,2,2,66,3,1,1,12,1,3,4,3,1,7238.36,55,42000000
4485,2017_HS3701100020,2017_HH11370087,2,2,2,2,3,1,4,72.6,3,1,2,10,1,1,4,2,5,6301.004148,67,12000000
4486,2017_HS3701100021,2017_HH17370002,2,2,1,2,6,2,4,66,2,1,1,4,1,3,4,1,1,9804.420544,25,18000000
4487,2017_HS3701100022,2017_HH17370003,2,2,2,2,6,2,3,75.9,2,1,1,8,2,3,5,2,1,28516.88,45,42000000
4488,2017_HS3701100023,2017_HH17370004,2,2,3,2,6,1,3,92.4,3,1,1,4,1,3,4,5,1,6539.35798,35,18000000
4489,2017_HS3701100024,2017_HH17370005,2,2,1,1,6,2,2,82.5,3,1,1,3,1,3,4,6,2,13602.90103,67,54000000
4490,2017_HS3701100025,2017_HH11370077,2,2,3,4,5,1,6,85.8,2,1,2,8,1,3,4,2,1,6979.435895,55,25000000
4491,2017_HS3701200002,2017_HH13370026,2,2,1,1,6,2,1,19.8,1,0,1,2,2,1,3,2,5,12696.42,55,12000000
4492,2017_HS3701200003,2017_HH12370039,2,2,1,1,5,3,2,69.3,3,1,1,8,2,1,3,1,5,9705.66,67,12000000
4493,2017_HS3701200004,2017_HH12370040,2,2,1,1,6,1,1,82.5,3,1,1,8,2,1,3,1,5,9798.53,67,12000000
4494,2017_HS3701200008,2017_HH12370043,2,2,1,1,5,3,4,72.6,2,1,1,6,4,3,3,2,3,4732.06,67,25000000
4495,2017_HS3701200009,2017_HH12370044,2,2,1,1,5,3,4,85.8,3,1,1,8,2,3,3,3,1,9702.93,67,54000000
4496,2017_HS3701200011,2017_HH12370046,2,2,1,1,5,3,4,75.9,3,1,1,6,5,3,3,2,1,16500.5,67,18000000
4497,2017_HS3701200013,2017_HH12370048,2,2,1,1,5,1,4,85.8,3,1,1,8,1,3,4,5,1,13866.31814,45,54000000
4498,2017_HS3701200014,2017_HH12370049,2,2,3,2,3,4,4,99,3,1,1,8,1,1,4,4,1,6595.72,55,25000000
4499,2017_HS3701200015,2017_HH17370006,2,2,3,2,6,2,6,92.4,2,1,1,4,1,3,5,2,4,7792.742265,25,18000000
4500,2017_HS3701200016,2017_HH17370007,2,2,3,7,6,2,4,118.8,3,1,1,8,1,3,5,4,3,6702.245157,55,54000000
4501,2017_HS3701200017,2017_HH12370045,2,2,3,2,5,3,6,105.6,3,1,1,10,1,3,4,2,1,5978.43,67,25000000
4502,2017_HS3702000001,2017_HH14370002,2,2,1,1,5,1,6,95.7,3,1,2,4,2,3,3,1,3,8816.711626,67,25000000
4503,2017_HS3702000002,2017_HH12370006,2,2,3,11,4,1,4,85.8,3,1,1,8,1,3,4,2,1,10797.93602,55,54000000
4504,2017_HS3702000004,2017_HH12370008,2,2,3,12,4,1,4,85.8,3,1,1,8,1,3,4,4,3,12495.82935,55,78000000
4505,2017_HS3702000005,2017_HH13370003,2,2,3,12,2,1,4,85.8,3,1,1,14,1,3,4,3,3,7413.22789,55,54000000
4506,2017_HS3702000006,2017_HH13370004,2,2,3,14,4,1,4,85.8,3,1,1,8,1,3,4,5,1,12844.15263,55,66000000
4507,2017_HS3702000007,2017_HH11370003,2,2,3,2,3,1,4,85.8,3,1,1,8,1,3,4,2,5,8335.374785,67,18000000
4508,2017_HS3702000008,2017_HH13370005,2,2,3,2,2,1,4,85.8,3,1,1,8,1,3,4,2,1,12071.85711,35,25000000
4509,2017_HS3702000009,2017_HH14370003,2,2,3,4,2,2,4,72.6,3,1,1,4,1,3,4,3,1,13792.27203,45,54000000
4510,2017_HS3702000010,2017_HH13370006,2,2,3,5,2,1,4,85.8,3,1,1,14,1,3,4,4,1,11228.40757,45,54000000
4511,2017_HS3702000011,2017_HH12370009,2,2,3,6,4,1,4,42.9,3,1,1,8,1,3,4,3,3,14243.1779,55,90000000
4512,2017_HS3702000012,2017_HH12370010,2,2,3,8,3,1,4,85.8,3,1,1,8,1,3,4,4,1,15116.65808,55,96000000
4513,2017_HS3702000014,2017_HH14370004,2,2,3,8,4,1,4,99,3,1,2,8,1,3,4,2,3,7939.008936,55,54000000
4514,2017_HS3702000015,2017_HH16370001,2,2,3,8,2,2,4,72.6,3,1,1,4,1,1,4,2,3,15630.42489,55,54000000
4515,2017_HS3702000016,2017_HH13370007,2,2,3,12,4,1,6,125.4,4,1,2,16,1,3,4,4,1,12634.19982,35,90000000
4516,2017_HS3702000017,2017_HH12370011,2,2,2,2,5,3,2,89.1,3,1,1,8,4,3,3,4,1,19073.72,55,90000000
4517,2017_HS3702000019,2017_HH17370008,2,2,2,1,6,2,6,118.8,3,1,2,8,1,3,5,4,3,16285.11607,45,54000000
4518,2017_HS3702000020,2017_HH17370009,2,2,3,6,2,2,4,72.6,3,1,1,4,1,3,4,2,3,7761.02,55,25000000
4519,2017_HS3702000021,2017_HH17370010,2,2,1,1,6,1,5,151.8,3,1,1,4,1,3,5,4,3,11364.62389,55,54000000
4520,2017_HS3702000022,2017_HH17370011,2,2,3,9,2,2,4,75.9,3,1,1,4,1,1,4,2,1,3874.076488,35,42000000
4521,2017_HS3703000001,2017_HH11370028,2,2,1,1,6,4,1,75.9,3,1,2,8,1,1,3,1,5,4385.14,67,12000000
4522,2017_HS3703000003,2017_HH11370030,2,2,1,1,6,4,1,72.6,3,1,2,8,5,1,3,1,3,25736.18,67,12000000
4523,2017_HS3703000004,2017_HH13370019,2,2,2,1,5,2,5,66,2,1,1,10,5,1,3,1,3,34845.95,67,12000000
4524,2017_HS3703000005,2017_HH16370002,2,2,1,1,6,1,4,49.5,2,1,1,4,1,1,3,2,5,3969.9,67,18000000
4525,2017_HS3703000006,2017_HH11370031,2,2,1,1,6,1,4,82.5,3,1,1,8,2,3,3,4,1,12383.67,55,25000000
4526,2017_HS3703000007,2017_HH11370032,2,2,1,1,6,1,2,79.2,3,1,1,10,1,3,3,1,5,3081.051347,67,12000000
4527,2017_HS3703000008,2017_HH17370012,2,2,1,1,6,1,1,72.6,4,1,2,8,2,1,3,2,3,7228.037905,67,25000000
4528,2017_HS3704000001,2017_HH11370055,2,2,1,1,6,1,3,82.5,4,1,1,8,5,3,3,2,3,27645.03,67,12000000
4529,2017_HS3704000003,2017_HH15370005,2,2,1,1,6,1,3,69.3,3,1,1,10,5,1,3,3,1,13906.57,55,18000000
4530,2017_HS3704000004,2017_HH14370014,2,2,1,1,5,2,2,72.6,2,1,1,10,1,1,4,4,1,13021.04126,55,54000000
4531,2017_HS3704000005,2017_HH11370057,2,2,1,1,6,1,4,79.2,3,1,1,8,4,3,3,1,3,16328.65,67,12000000
4532,2017_HS3704000006,2017_HH11370058,2,2,1,1,6,2,3,79.2,4,1,2,8,4,3,3,2,3,7069.35,67,12000000
