,id_hs,id_hh,cat_loc_div,cat_sz_cty,cat_hus_typ,num_flr,num_out_wls,cat_hus_dir_fce,cat_hus_blt_yr,num_hus_ar,num_bed,num_liv,num_bat,num_out_wds,cat_fuel_heat,cat_cool,cat_fuel_cook,num_hus_mems,cat_mhh_age,cat_mhh_occu,cat_hh_ann_incm,num_tot_energy_heat
4291,2017_HS3506000012,2017_HH17350044,3,2,2,1,6,1,1,82.5,3,1,1,5,2,1,3,1,3,5,1,11397.96
4292,2017_HS3506000013,2017_HH17350045,3,2,1,1,6,1,4,72.6,3,1,1,6,2,3,3,2,3,5,1,10448.68
4293,2017_HS3531000002,2017_HH14350007,3,2,3,2,4,2,4,99.0,2,1,1,5,1,1,4,2,2,1,1,16127.156836000002
4294,2017_HS3531000004,2017_HH14350009,3,2,2,3,4,2,4,99.0,2,1,1,5,1,1,4,3,3,1,3,15044.529053999999
4295,2017_HS3531000007,2017_HH12350008,3,2,1,1,6,4,5,125.4,3,1,2,5,2,1,3,1,3,3,1,8675.48
4296,2017_HS3531000008,2017_HH12350009,3,2,1,1,6,2,3,75.89999999999998,3,1,2,6,2,3,3,2,3,3,2,10824.57
4297,2017_HS3531000009,2017_HH12350010,3,2,1,1,6,2,4,82.5,4,1,1,8,2,3,3,4,2,1,3,12091.4
4298,2017_HS3531000010,2017_HH12350011,3,2,1,1,6,3,3,125.4,3,1,2,6,2,3,3,2,3,3,2,9934.63
4299,2017_HS3531000011,2017_HH11350025,3,2,1,1,6,2,2,125.4,4,1,2,6,2,3,3,3,3,3,3,12106.15
4300,2017_HS3531000012,2017_HH17350046,3,2,3,9,6,1,4,99.0,2,1,1,6,1,1,4,1,3,5,1,14635.903762
4301,2017_HS3531000016,2017_HH17350050,3,2,1,1,5,1,4,92.4,3,1,1,5,2,3,3,1,3,3,1,9323.27
4302,2017_HS3533000003,2017_HH17350051,3,2,1,1,6,2,2,82.5,3,1,1,2,1,3,4,2,2,3,5,11476.452218999999
4303,2017_HS3533000007,2017_HH17350052,3,2,3,1,4,1,3,82.5,2,1,1,2,1,3,4,2,3,3,4,8236.49
4304,2017_HS3533000008,2017_HH17350053,3,2,3,3,4,2,4,82.5,3,1,1,2,1,3,4,3,2,1,4,12081.202278
4305,2017_HS3533000010,2017_HH15350017,3,2,3,1,4,2,5,82.5,3,1,2,6,1,3,4,1,3,1,1,12727.2
4306,2017_HS3533000011,2017_HH17350054,3,2,3,1,4,2,3,82.5,3,1,1,1,1,3,4,2,3,3,3,7668.13
4307,2017_HS3533000012,2017_HH17350055,3,2,1,1,6,3,4,59.4,2,1,1,5,5,1,3,1,3,5,1,24616.73
4308,2017_HS3533000013,2017_HH17350056,3,2,1,1,6,2,6,85.8,3,1,2,6,2,3,5,2,2,3,4,11600.48
4309,2017_HS3533000014,2017_HH17350057,3,2,3,1,2,1,4,79.19999999999997,3,1,2,3,1,3,4,3,2,3,3,17149.25
4310,2017_HS3533000015,2017_HH17350058,3,2,3,4,2,1,4,85.8,2,1,2,2,1,3,4,3,2,1,4,13429.42
4311,2017_HS3533000016,2017_HH17350059,3,2,3,8,3,1,6,112.2,3,1,2,5,1,3,4,4,2,1,5,13121.54
4312,2017_HS3533000017,2017_HH15350016,3,2,3,5,5,1,6,112.2,3,1,2,5,1,3,4,2,3,5,2,3709.0425450000002
