,id_hh,id_hs,cat_loc_div,cat_sz_cty,cat_hus_typ,num_flr,num_out_wls,cat_hus_dir_fce,num_hus_blt_yr,num_hus_ar,num_bed,num_bat,num_out_wds,cat_fuel_heat,cat_cool,cat_fuel_cook,num_hus_mems,cat_mhh_age,cat_mhh_occu,cat_hh_ann_incm,num_hus_age,num_tot_energy_heat
1577,HH15330003,HS3304200013,2,2,3,10,3,1,2001,82.5,3,1,12,3,1,4,1,3,3,2,18,12639.19539
1578,HH16330014,HS3304200014,2,2,3,5,2,1,2000,82.5,3,2,8,3,3,4,1,3,5,3,19,10191.75458
1579,HH16330015,HS3304200015,2,2,3,9,3,1,2000,79.2,3,2,8,3,3,4,2,3,2,3,19,13060.39719
1580,HH13330010,HS3304200017,2,2,3,2,2,1,1991,36.3,2,1,4,1,1,4,4,3,2,2,28,3615.09937
1581,HH15330004,HS3304200018,2,2,3,1,2,1,1991,36.3,2,1,4,1,1,4,1,3,4,1,28,6053.848503
1582,HH13330011,HS3304200019,2,2,3,12,3,1,1995,82.5,3,2,8,1,3,4,3,2,1,4,24,10396.7619
1583,HH17330009,HS3304200020,2,2,1,3,3,1,2009,99,3,2,12,4,3,3,3,3,1,4,10,15986.54
1584,HH17330011,HS3304200022,2,2,1,1,6,1,1983,79.2,3,1,20,2,3,3,5,2,1,7,36,11412.32
1585,HH17330012,HS3304200023,2,2,1,1,6,1,1989,155.1,3,1,16,2,1,3,1,3,5,1,30,9818.28
1586,HH12330012,HS3304200024,2,2,1,1,2,3,2005,23.1,1,1,2,4,1,5,1,3,5,1,14,1869.64
1587,HH17330013,HS3304200025,2,2,1,1,6,3,2007,23.1,1,1,2,1,3,4,2,3,5,1,12,4267.07821
1588,HH12330014,HS3304200026,2,2,3,10,2,1,2001,82.5,3,2,8,3,3,4,4,2,4,3,18,18400.15935
1589,HH17330014,HS3304200027,2,2,1,1,5,1,1985,99,3,1,17,2,3,3,1,3,5,1,34,9700.06
1590,HH18330005,HS3304200028,2,2,1,1,6,1,1985,174.9,4,1,16,4,3,5,4,2,1,7,34,19017.18
1591,HH13330012,HS3304300001,2,2,3,15,4,1,2002,69.3,2,1,8,3,1,4,2,2,1,3,17,4678.635567
1592,HH13330013,HS3304300002,2,2,3,18,4,1,2002,69.3,2,1,8,3,3,4,2,3,5,1,17,13598.16539
1593,HH13330014,HS3304300003,2,2,3,1,5,5,2002,75.9,2,1,10,3,3,4,4,2,1,4,17,6601.14734
1594,HH16330019,HS3304300004,2,2,3,1,4,1,2002,75.9,3,1,10,3,1,4,2,3,4,2,17,10351.81194
1595,HH16330020,HS3304300006,2,2,3,12,3,1,2002,75.9,3,1,10,3,3,4,2,2,2,2,17,11335.84878
1596,HH12330022,HS3304300007,2,2,3,15,3,5,2002,75.9,2,1,9,3,3,4,2,3,1,2,17,8869.971732
1597,HH12330023,HS3304300008,2,2,3,6,4,5,2002,75.9,2,1,9,3,3,5,2,3,1,3,17,12296.45996
1598,HH12330024,HS3304300009,2,2,2,4,5,1,2010,112.2,3,2,8,1,3,4,3,3,3,3,9,13570.98647
1599,HH13330015,HS3304300010,2,2,3,2,4,1,1989,36.3,2,1,4,1,1,4,1,3,5,1,30,5843.02891
1600,HH13330016,HS3304300011,2,2,3,2,4,1,1989,36.3,2,1,8,1,3,4,1,3,1,1,30,6981.09262
1601,HH16330021,HS3304300012,2,2,3,2,6,1,1989,66,2,1,10,1,1,4,1,3,4,1,30,4130.66934
1602,HH16330022,HS3304300013,2,2,3,3,2,1,1989,36.3,1,1,8,4,1,5,1,3,4,1,30,1557.46
1603,HH17330015,HS3304300014,2,2,3,4,4,1,1989,36.3,2,1,8,1,3,5,1,3,5,1,30,3331.11643
1604,HH12330025,HS3304300015,2,2,1,1,6,2,1997,72.6,2,1,8,2,3,3,3,2,3,4,22,9830.12
1605,HH13330019,HS3304300018,2,2,1,2,5,1,1999,66,2,1,13,1,3,5,4,2,1,7,20,9197.78655
1606,HH13330020,HS3304300019,2,2,1,2,5,1,1987,99,3,1,15,2,1,5,2,2,1,2,32,8173.1
1607,HH12330026,HS3304300020,2,2,1,1,4,1,1995,102.3,4,2,4,4,3,3,1,3,4,4,24,12783.9
1608,HH12330027,HS3304300021,2,2,1,1,5,3,1985,125.4,3,1,6,1,3,4,3,3,3,2,34,11711.71383
